restaurant_name,location,menu_item,notes,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Big Ass Taco,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Enchiladas Rojas De Pollo,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Paella De Mariscos A La Mexicana,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Salmon Con Pepinos,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Rice And Beans,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Sweet & Spicy Brussels Sprouts - Cotija Cheese,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Cucumbers & Radish Salad,
Cantina Rooftop,"605 W 48Th St, New York City New York 10036",Avocado Heirloom Tomatoes Pico De Gallo,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",Raw Hummus And Pesto Zattar,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",(Raw) Nachos,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",(Raw) Almond Hummus,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",Spanish Bruschetta,gf option available
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",Warm Olives,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",Peanut - Sesame Noodles,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",(Raw) Watercress Salad,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",(Raw) Sea Vegetable Salad,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",(Raw) Omega Salad,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",Un-Checiken Caesar Salad,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",(Raw) Angel'S Salad,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",Santa Maria Stir Fry,gf option available
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",Caravan Burrito,gf option available
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",Shiitake & Maitake - Yuzu Ramen,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",Macrobiotic Platter,gf option available
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",Cashew Lemon Pasta,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",Raw Nori Rolls,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",(Raw) California Tostada,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",(Raw) Sampler Platter,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",(Raw) Cacao Fudge,
Caravan Of Dreams,"405 E 6Th St, New York City New York 10009",Warm Brownie Sundae,
Carmine’S,"200 W 44Th St, New York City New York 10036",Raw Bar Items (Clams & Shrimp),
Carmine’S,"200 W 44Th St, New York City New York 10036","Roasted Peppers, Mozzarella & Anchovy",
Carmine’S,"200 W 44Th St, New York City New York 10036",Zuppa Di Clams (Red Or White Sauce),
Carmine’S,"200 W 44Th St, New York City New York 10036",Zuppa Di Mussels (Red Or White Sauce),
Carmine’S,"200 W 44Th St, New York City New York 10036","Carmine’S Salad
",
Carmine’S,"200 W 44Th St, New York City New York 10036",Mixed Green Salad,
Carmine’S,"200 W 44Th St, New York City New York 10036",Caesar (Ordered Without Croutons) ,gf option available
Carmine’S,"200 W 44Th St, New York City New York 10036",Caprese Salad,
Carmine’S,"200 W 44Th St, New York City New York 10036",Pomodoro  Pasta,
Carmine’S,"200 W 44Th St, New York City New York 10036",Marinara Pasta,
Carmine’S,"200 W 44Th St, New York City New York 10036",Giardiniera Pasta,
Carmine’S,"200 W 44Th St, New York City New York 10036",Mixed Seafood Pasta (Red Or White Sauce),
Carmine’S,"200 W 44Th St, New York City New York 10036",Sausage Links W/ Marinara Pasta,
Carmine’S,"200 W 44Th St, New York City New York 10036",Broccoli Pasta (Red Or White Sauce [Ordered Without Bread Crumbs On White Sauce],
Carmine’S,"200 W 44Th St, New York City New York 10036",Broccoli & Sausage Pasta (Red Or White Sauce[Ordered Without Bread Crumbs On White Sauce],
Carmine’S,"200 W 44Th St, New York City New York 10036",Garlic & Oil Pasta [Ordered Without Bread Crumbs],
Carmine’S,"200 W 44Th St, New York City New York 10036",Calamari Pasta (Red Or White Sauce),
Carmine’S,"200 W 44Th St, New York City New York 10036",Clam Pasta (Red Or White Sauce),
Carmine’S,"200 W 44Th St, New York City New York 10036",Country Style Pasta,
Carmine’S,"200 W 44Th St, New York City New York 10036",Country Style Pasta (Red Or White Sauce),
Carmine’S,"200 W 44Th St, New York City New York 10036",Vodka Pasta,
Carmine’S,"200 W 44Th St, New York City New York 10036",All Porterhouse Steaks,
Carmine’S,"200 W 44Th St, New York City New York 10036",Chicken Contadina,
Carmine’S,"200 W 44Th St, New York City New York 10036",Chicken Scarpariello,
Carmine’S,"200 W 44Th St, New York City New York 10036",Lobster Fra Diavolo (Ordered Over Gluten Free Pasta),
Carmine’S,"200 W 44Th St, New York City New York 10036",Shrimp Fra Diavolo,
Carmine’S,"200 W 44Th St, New York City New York 10036",Shrimp Marinara,
Carmine’S,"200 W 44Th St, New York City New York 10036",Salmon (Ordered With No Bread Crumbs),gf option available
Carmine’S,"200 W 44Th St, New York City New York 10036",Tartufo,
Carmine’S,"200 W 44Th St, New York City New York 10036",Fresh Fruit,
Carmine’S,"200 W 44Th St, New York City New York 10036",Chocolate Torte,
Carmine’S,"200 W 44Th St, New York City New York 10036",Titanic/Tugboat (Ordered Without Cookies),gf option available
Catch,"21 Ninth Avenue, New York City New York 10014",Jumbo Shrimp Cocktail,
Catch,"21 Ninth Avenue, New York City New York 10014",Baby Gem Caesar Salad,
Catch,"21 Ninth Avenue, New York City New York 10014",Tuscan Kale Salad,
Catch,"21 Ninth Avenue, New York City New York 10014",Crispy Cauliflower,
Catch,"21 Ninth Avenue, New York City New York 10014",Filet Skewers,
Catch,"21 Ninth Avenue, New York City New York 10014",A5 Japanese Miyazaki Wagyu,
Catch,"21 Ninth Avenue, New York City New York 10014",Herb Roasted Branzino,
Catch,"21 Ninth Avenue, New York City New York 10014",Whole Roasted Branzino,
Catch,"21 Ninth Avenue, New York City New York 10014",Grilled Branzino,
Catch,"21 Ninth Avenue, New York City New York 10014",Salmon A La Plancha,
Catch,"21 Ninth Avenue, New York City New York 10014",Seared Yellowfin Tuna,
Catch,"21 Ninth Avenue, New York City New York 10014",Seared Halibut,
Catch,"21 Ninth Avenue, New York City New York 10014",Jalapeño Cucumber Emulsion Sauce (Choice Of Sauce),
Catch,"21 Ninth Avenue, New York City New York 10014",Kale Pesto Sauce (Choice Of Sauce),
Catch,"21 Ninth Avenue, New York City New York 10014",Mushroom Penne,
Catch,"21 Ninth Avenue, New York City New York 10014",10Oz Filet Mignon,
Catch,"21 Ninth Avenue, New York City New York 10014",36Oz Usda Prime Porterhouse For Two,
Catch,"21 Ninth Avenue, New York City New York 10014",Charred Broccolini,
